"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW","redlistTW_date"
"Idiosepius minimus","t0027090","Animalia","Cephalopoda","DD",NA,NA,NA
"Pterorhinus sannio","t0029850","Animalia","Aves","LC",NA,NA,NA
"Neotrygon orientalis","t0031102","Animalia","Elasmobranchii","LC",NA,NA,NA
"Opistognathus flavidus","t0031335","Animalia","Actinopteri","LC",NA,NA,NA
"Trachinocephalus trachinus","t0033459","Animalia","Actinopteri","LC",NA,NA,NA
"Planiliza planiceps","t0035958","Animalia","Actinopteri","LC",NA,NA,NA
"Platygyra acuta","t0036027","Animalia","Hexacorallia","LC",NA,NA,NA
"Platygyra contorta","t0036030","Animalia","Hexacorallia","LC",NA,NA,NA
"Platygyra verweyi","t0036036","Animalia","Hexacorallia","LC",NA,NA,NA
"Pleuractis moluccensis","t0036228","Animalia","Hexacorallia","LC",NA,NA,NA
"Pleuractis taiwanensis","t0036230","Animalia","Hexacorallia","LC",NA,NA,NA
"Pocillopora brevicornis","t0036274","Animalia","Hexacorallia","DD",NA,NA,NA
"Pocillopora elegans","t0036277","Animalia","Hexacorallia","EN",NA,NA,NA
"Pocillopora fungiformis","t0036278","Animalia","Hexacorallia","EN",NA,NA,NA
"Pocillopora kelleheri","t0036280","Animalia","Hexacorallia","EN",NA,NA,NA
"Podabacia motuporensis","t0036285","Animalia","Hexacorallia","LC",NA,NA,NA
"Porites aranetai","t0036565","Animalia","Hexacorallia","LC",NA,NA,NA
"Porites attenuata","t0036566","Animalia","Hexacorallia","EN",NA,NA,NA
"Porites compressa","t0036568","Animalia","Hexacorallia","LC",NA,NA,NA
"Porites densa","t0036572","Animalia","Hexacorallia","LC",NA,NA,NA
"Porites evermanni","t0036573","Animalia","Hexacorallia","EN",NA,NA,NA
"Porites heronensis","t0036574","Animalia","Hexacorallia","EN",NA,NA,NA
"Porites latistellata","t0036576","Animalia","Hexacorallia","LC",NA,NA,NA
"Porites vaughani","t0036588","Animalia","Hexacorallia","LC",NA,NA,NA
"Psammocora haimiana","t0036887","Animalia","Hexacorallia","LC",NA,NA,NA
"Psammocora nierstraszi","t0036888","Animalia","Hexacorallia","LC",NA,NA,NA
"Psammocora stellata","t0036890","Animalia","Hexacorallia","LC",NA,NA,NA
"Pseudomphala latericea","t0037075","Animalia","Gastropoda","LC",NA,NA,NA
"Pycnocraspedum microlepis","t0037452","Animalia","Actinopteri","DD",NA,NA,NA
"Seriatopora aculeata","t0038807","Animalia","Hexacorallia","EN",NA,NA,NA
"Seriatopora guttata","t0038809","Animalia","Hexacorallia","EN",NA,NA,NA
"Crithagra mozambica","t0038822","Animalia","Aves","LC",NA,NA,NA
"Simplastrea vesicularis","t0038967","Animalia","Hexacorallia","DD",NA,NA,NA
"Sinuorota hexagonalis","t0039188","Animalia","Hexacorallia","LC",NA,NA,NA
"Stolephorus insignus","t0039934","Animalia","Actinopteri","DD",NA,NA,NA
"Stylocoeniella cocosensis","t0046332","Animalia","Hexacorallia","LC",NA,NA,NA
"Stylophora subseriata","t0046340","Animalia","Hexacorallia","EN",NA,NA,NA
"Tubastraea floreana","t0048206","Animalia","Hexacorallia","CR",NA,NA,NA
"Turbinaria radicalis","t0048235","Animalia","Hexacorallia","LC",NA,NA,NA
"Dicrurus annectens","t0061577","Animalia","Aves","LC",NA,NA,NA
"Dipsastraea faviaformis","t0061753","Animalia","Hexacorallia","LC",NA,NA,NA
"Dipsastraea helianthoides","t0061755","Animalia","Hexacorallia","LC",NA,NA,NA
"Dipsastraea veroni","t0061764","Animalia","Hexacorallia","LC",NA,NA,NA
"Echinomorpha nishihirai","t0062249","Animalia","Hexacorallia","LC",NA,NA,NA
"Echinophyllia costata","t0062257","Animalia","Hexacorallia","LC",NA,NA,NA
"Echinophyllia patula","t0062260","Animalia","Hexacorallia","LC",NA,NA,NA
"Favites acuticollis","t0063809","Animalia","Hexacorallia","LC",NA,NA,NA
"Favites colemani","t0063811","Animalia","Hexacorallia","LC",NA,NA,NA
"Fimbriaphyllia paraancora","t0063873","Animalia","Hexacorallia","LC",NA,NA,NA
"Goniastrea minuta","t0064734","Animalia","Hexacorallia","LC",NA,NA,NA
"Goniopora burgosi","t0064751","Animalia","Hexacorallia","LC",NA,NA,NA
"Goniopora cellulosa","t0064752","Animalia","Hexacorallia","LC",NA,NA,NA
"Goniopora eclipsensis","t0064755","Animalia","Hexacorallia","LC",NA,NA,NA
"Goniopora fruticosa","t0064756","Animalia","Hexacorallia","LC",NA,NA,NA
"Goniopora stokesi","t0064762","Animalia","Hexacorallia","LC",NA,NA,NA
"Homophyllia bowerbanki","t0065805","Animalia","Hexacorallia","LC",NA,NA,NA
"Isopora crateriformis","t0066389","Animalia","Hexacorallia","EN",NA,NA,NA
"Leptoseris amitoriensis","t0067231","Animalia","Hexacorallia","LC",NA,NA,NA
"Leptoseris foliosa","t0067233","Animalia","Hexacorallia","LC",NA,NA,NA
"Leptoseris solida","t0067239","Animalia","Hexacorallia","LC",NA,NA,NA
"Leptoseris striata","t0067240","Animalia","Hexacorallia","LC",NA,NA,NA
"Leptoseris tubulifera","t0067241","Animalia","Hexacorallia","LC",NA,NA,NA
"Lobophyllia dentata","t0067776","Animalia","Hexacorallia","EN",NA,NA,NA
"Lobophyllia diminuta","t0067777","Animalia","Hexacorallia","EN",NA,NA,NA
"Lobophyllia hassi","t0067779","Animalia","Hexacorallia","LC",NA,NA,NA
"Lobophyllia ishigakiensis","t0067782","Animalia","Hexacorallia","LC",NA,NA,NA
"Micromussa lordhowensis","t0069303","Animalia","Hexacorallia","EN",NA,NA,NA
"Acanthastrea brevis","t0069943","Animalia","Hexacorallia","LC",NA,NA,NA
"Acanthastrea minuta","t0069947","Animalia","Hexacorallia","LC",NA,NA,NA
"Acanthastrea subechinata","t0069949","Animalia","Hexacorallia","LC",NA,NA,NA
"Acropora abrolhosensis","t0070169","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora bushyensis","t0070176","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora cophodactyla","t0070180","Animalia","Hexacorallia","DD",NA,NA,NA
"Acropora dendrum","t0070183","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora elegans","t0070188","Animalia","Hexacorallia","LC",NA,NA,NA
"Acropora hoeksemai","t0070197","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora horrida","t0070198","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora kosurini","t0070205","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora loisetteae","t0070208","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora longicyathus","t0070209","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora lovelli","t0070210","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora multiacuta","t0070214","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora paniculata","t0070219","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora papillare","t0070220","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora polystoma","t0070222","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora selago","t0070229","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora speciosa","t0070231","Animalia","Hexacorallia","VU",NA,NA,NA
"Acropora spicifera","t0070232","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora striata","t0070233","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora sukarnoi","t0070236","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora tumida","t0070238","Animalia","Hexacorallia","EN",NA,NA,NA
"Acropora willisae","t0070242","Animalia","Hexacorallia","EN",NA,NA,NA
"Alveopora allingi","t0071009","Animalia","Hexacorallia","EN",NA,NA,NA
"Alveopora daedalea","t0071010","Animalia","Hexacorallia","EN",NA,NA,NA
"Alveopora excelsa","t0071011","Animalia","Hexacorallia","VU",NA,NA,NA
"Amynthas carnosus","t0071312","Animalia","Clitellata","LC",NA,NA,NA
"Astreopora macrostoma","t0072462","Animalia","Hexacorallia","EN",NA,NA,NA
"Astreopora scabra","t0072466","Animalia","Hexacorallia","LC",NA,NA,NA
"Astreopora suggesta","t0072467","Animalia","Hexacorallia","EN",NA,NA,NA
"Caulastraea furcata","t0077637","Animalia","Hexacorallia","LC",NA,NA,NA
"Conus aurisiacus","t0079130","Animalia","Gastropoda","LC",NA,NA,NA
"Coscinaraea monile","t0079446","Animalia","Hexacorallia","LC",NA,NA,NA
"Cycloseris somervillei","t0080008","Animalia","Hexacorallia","LC",NA,NA,NA
"Cycloseris tenuis","t0080009","Animalia","Hexacorallia","LC",NA,NA,NA
"Cycloseris wellsi","t0080011","Animalia","Hexacorallia","LC",NA,NA,NA
"Cyphastrea agassizi","t0080098","Animalia","Hexacorallia","LC",NA,NA,NA
"Cyphastrea ocellina","t0080102","Animalia","Hexacorallia","LC",NA,NA,NA
"Montipora australiensis","t0080475","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora capitata","t0080479","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora capricornis","t0080480","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora carinata","t0080481","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora cebuensis","t0080482","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora confusa","t0080483","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora corbettensis","t0080484","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora crassituberculata","t0080485","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora delicatula","t0080487","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora effusa","t0080490","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora floweri","t0080491","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora friabilis","t0080494","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora gaimardi","t0080495","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora hodgsoni","t0080498","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora mactanensis","t0080502","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora malampaya","t0080503","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora marshallensis","t0080504","Animalia","Hexacorallia","DD",NA,NA,NA
"Montipora palawanensis","t0080509","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora porites","t0080511","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora samarensis","t0080512","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora setosa","t0080513","Animalia","Hexacorallia","EN",NA,NA,NA
"Montipora turtlensis","t0080520","Animalia","Hexacorallia","EN",NA,NA,NA
"Neobythites australiensis","t0081126","Animalia","Actinopteri","LC",NA,NA,NA
"Turdus mupinensis","t0082561","Animalia","Aves","LC",NA,NA,NA
"Oulophyllia levis","t0082576","Animalia","Hexacorallia","LC",NA,NA,NA
"Palaemon annandalei","t0082817","Animalia","Malacostraca","LC",NA,NA,NA
"Paragoniastrea deformis","t0083136","Animalia","Hexacorallia","LC",NA,NA,NA
"Parambassis siamensis","t0083227","Animalia","Actinopteri","LC",NA,NA,NA
"Pavona danai","t0083589","Animalia","Hexacorallia","LC",NA,NA,NA
"Pectinia alcicornis","t0083621","Animalia","Hexacorallia","EN",NA,NA,NA
"Physophyllia ayleni","t0084347","Animalia","Hexacorallia","DD",NA,NA,NA
"Emberiza personata","t0085618","Animalia","Aves","LC",NA,NA,NA
"Mogera insularis","t0085930","Animalia","Mammalia","LC",NA,"NLC","2024-12-01"
"Indoplanorbis exustus","t0095931","Animalia","Gastropoda","LC",NA,NA,NA
"Helopsaltes certhiola","t0096196","Animalia","Aves","LC",NA,NA,NA
"Marisa cornuarietis","t0096298","Animalia","Gastropoda","LC",NA,NA,NA
"Xenisthmus nigrolateralis","t0096677","Animalia","Actinopteri","DD",NA,NA,NA
"Panthera pardus","t0097046","Animalia","Mammalia","VU","I",NA,NA
"Pseudoplatystoma fasciatum","t0098655","Animalia","Actinopteri","LC",NA,NA,NA
"Thalasseus bergii","t0098966","Animalia","Aves","LC","II","NLC","2024-12-01"
"Lagocephalus lagocephalus","t0099103","Animalia","Actinopteri","LC",NA,NA,NA
"Albula argentea","t0099911","Animalia","Actinopteri","DD",NA,NA,NA
"Gobiobotia kolleri","t0101559","Animalia","Actinopteri","DD",NA,NA,NA
"Halieutopsis oblonga","t0101905","Animalia","Actinopteri","LC",NA,NA,NA
"Opistognathus macrolepis","t0102001","Animalia","Actinopteri","LC",NA,NA,NA
"Opistognathus randalli","t0102002","Animalia","Actinopteri","LC",NA,NA,NA
"Opistognathus microspilus","t0102003","Animalia","Actinopteri","DD",NA,NA,NA
"Johnius borneensis","t0102058","Animalia","Actinopteri","LC",NA,NA,NA
"Johnius trewavasae","t0102059","Animalia","Actinopteri","LC",NA,NA,NA
"Oryzias latipes","t0102328","Animalia","Actinopteri","LC",NA,NA,NA
"Atherinomorus pinguis","t0103308","Animalia","Actinopteri","LC",NA,NA,NA
"Epinephelus corallicola","t0103311","Animalia","Actinopteri","LC",NA,NA,NA
"Foa brachygramma","t0103312","Animalia","Actinopteri","LC",NA,NA,NA
"Iniistius evides","t0103315","Animalia","Actinopteri","LC",NA,NA,NA
"Odontaspis ferox","t0103318","Animalia","Elasmobranchii","EN",NA,NA,NA
"Rogadius pristiger","t0103320","Animalia","Actinopteri","LC",NA,NA,NA
"Sardinella albella","t0103321","Animalia","Actinopteri","LC",NA,NA,NA
"Sargocentron melanospilos","t0103322","Animalia","Actinopteri","LC",NA,NA,NA
"Thalassoma purpureum","t0103323","Animalia","Actinopteri","LC",NA,NA,NA
"Pseudoplesiops rosae","t0103699","Animalia","Actinopteri","LC",NA,NA,NA
"Apogonichthyoides sialis","t0104406","Animalia","Actinopteri","LC",NA,NA,NA
"Abalistes filamentosus","t0104409","Animalia","Actinopteri","LC",NA,NA,NA
"Thamnaconus fijiensis","t0104410","Animalia","Actinopteri","DD",NA,NA,NA
"Bovitrigla acanthomoplate","t0105463","Animalia","Actinopteri","DD",NA,NA,NA
"Bathophilus pawneei","t0105470","Animalia","Actinopteri","LC",NA,NA,NA
"Beryx decadactylus","t0105471","Animalia","Actinopteri","LC",NA,NA,NA
"Brachypleura novaezeelandiae","t0105472","Animalia","Actinopteri","LC",NA,NA,NA
"Brachypterois serrulifer","t0105553","Animalia","Actinopteri","LC",NA,NA,NA
"Holothuria coluber","t0105607","Animalia","Holothuroidea","LC",NA,NA,NA
"Stichopus chloronotus","t0105608","Animalia","Holothuroidea","LC",NA,NA,NA
"Labidodemas semperianum","t0105614","Animalia","Holothuroidea","LC",NA,NA,NA
"Anguilla rostrata","t0105784","Animalia","Actinopteri","EN",NA,NA,NA
"Engyprosopon macrolepis","t0105791","Animalia","Actinopteri","LC",NA,NA,NA
"Chelon melinopterus","t0105982","Animalia","Actinopteri","LC",NA,NA,NA
"Pristigenys refulgens","t0105991","Animalia","Actinopteri","LC",NA,NA,NA
"Equulites popei","t0105992","Animalia","Actinopteri","LC",NA,NA,NA
"Scotophilus heathii","t0105998","Animalia","Mammalia","LC",NA,NA,NA
"Myrmecophilus mayaealberti","t0106085","Animalia","Insecta","DD",NA,NA,NA
"Okamejei picta","t0106113","Animalia","Elasmobranchii","DD",NA,NA,NA
"Equulites oblongus","t0106138","Animalia","Actinopteri","LC",NA,NA,NA
"Equulites leuciscus","t0106141","Animalia","Actinopteri","LC",NA,NA,NA
"Dasyscopelus orientalis","t0106158","Animalia","Actinopteri","LC",NA,NA,NA
"Echidna rhodochilus","t0106324","Animalia","Actinopteri","LC",NA,NA,NA
"Thryssa encrasicholoides","t0106676","Animalia","Actinopteri","DD",NA,NA,NA
"Tetronarce tokionis","t0106677","Animalia","Elasmobranchii","LC",NA,NA,NA
"Synodus kaianus","t0106678","Animalia","Actinopteri","LC",NA,NA,NA
"Silhouettea dotui","t0106679","Animalia","Actinopteri","LC",NA,NA,NA
"Rosenblattichthys alatus","t0106680","Animalia","Actinopteri","LC",NA,NA,NA
"Polymetme surugaensis","t0106682","Animalia","Actinopteri","LC",NA,NA,NA
"Paramonacanthus oblongus","t0106683","Animalia","Actinopteri","LC",NA,NA,NA
"Ostorhinchus gularis","t0106684","Animalia","Actinopteri","LC",NA,NA,NA
"Ostichthys archiepiscopus","t0106685","Animalia","Actinopteri","LC",NA,NA,NA
"Ophichthus sangjuensis","t0106686","Animalia","Actinopteri","DD",NA,NA,NA
"Melanostomias tentaculatus","t0106691","Animalia","Actinopteri","LC",NA,NA,NA
"Lutjanus timoriensis","t0106692","Animalia","Actinopteri","LC",NA,NA,NA
"Kentrocapros flavofasciatus","t0106695","Animalia","Actinopteri","LC",NA,NA,NA
"Gymnothorax monochrous","t0106696","Animalia","Actinopteri","LC",NA,NA,NA
"Synodus sanguineus","t0106703","Animalia","Actinopteri","DD",NA,NA,NA
"Synodus pacificus","t0106704","Animalia","Actinopteri","LC",NA,NA,NA
"Synodus hoshinonis","t0106705","Animalia","Actinopteri","LC",NA,NA,NA
"Sphyraena pinguis","t0106706","Animalia","Actinopteri","LC",NA,NA,NA
"Scopelosaurus smithii","t0106709","Animalia","Actinopteri","LC",NA,NA,NA
"Saurida micropectoralis","t0106711","Animalia","Actinopteri","LC",NA,NA,NA
"Saurida macrolepis","t0106712","Animalia","Actinopteri","LC",NA,NA,NA
"Saurida isarankurai","t0106713","Animalia","Actinopteri","LC",NA,NA,NA
"Rhabdamia spilota","t0106714","Animalia","Actinopteri","LC",NA,NA,NA
"Heteromycteris hartzfeldii","t0106718","Animalia","Actinopteri","DD",NA,NA,NA
"Somniosus cheni","t0106719","Animalia","Elasmobranchii","DD",NA,NA,NA
"Etmopterus pusillus","t0106720","Animalia","Elasmobranchii","LC",NA,NA,NA
"Dipturus chinensis","t0106721","Animalia","Elasmobranchii","VU",NA,NA,NA
"Helcogramma williamsi","t0106724","Animalia","Actinopteri","DD",NA,NA,NA
"Ablabys gymnothorax","t0106727","Animalia","Actinopteri","LC",NA,NA,NA
"Centrophorus longipinnis","t0106728","Animalia","Elasmobranchii","EN",NA,NA,NA
"Opistognathus nigripinnis","t0106729","Animalia","Actinopteri","DD",NA,NA,NA
"Pseudoscopelus sagamianus","t0106740","Animalia","Actinopteri","LC",NA,NA,NA
"Pseudorhombus oculocirris","t0106741","Animalia","Actinopteri","LC",NA,NA,NA
"Psenes arafurensis","t0106742","Animalia","Actinopteri","LC",NA,NA,NA
"Halieutaea coccinea","t0106744","Animalia","Actinopteri","LC",NA,NA,NA
"Gymnocranius satoi","t0106745","Animalia","Actinopteri","LC",NA,NA,NA
"Gymnocranius obesus","t0106746","Animalia","Actinopteri","LC",NA,NA,NA
