"TC_version","TT_version","folder_name","file_name","row_count"
"20260416","20260429","output_namecheck","combine.table_namecheck .csv",1029
"20260416","20260429","output_namecheck","combine.table_nomatch.csv",0
"20260416","20260429","output_namecheck","TT_selected_noID.csv",190
"20260416","20260429","output_sensitive change","extra_taxon_sensitive_Animalia_TT.csv",0
"20260416","20260429","output_sensitive change","sensitive_change_output.csv",3
"20260416","20260429","output_sensitive change","TT_selected_light_sensitive_wrong.csv",0
"20260416","20260429","output_redlistTW change","extra_date_redlistTW_Animalia_TT.csv",1
"20260416","20260429","output_redlistTW change","redlistTW_change_final_output.csv",0
"20260416","20260429","output_redlistTW change","redlistTW_change_final_output_date.csv",14
"20260416","20260429","output_redlistTW change","redlistTW_TRUE.csv",50843
"20260416","20260429","output_IUCN change","IUCN_change_final_output.csv",289
"20260416","20260429","output_IUCN change","IUCN_TRUE.csv",50627
"20260416","20260429","output_protected change","protected_change_final_output.csv",6
"20260416","20260429","output_protected change","protected_TRUE.csv",50986
"20260416","20260429","output_add extra taxon","extra_Animalia.csv",353
"20260416","20260429","output_add extra taxon","extra_Plantae.csv",5282
